Professional category,Working hospital,Sex,Age in years,Marital status,Last Educational Qualification,Professional Training,Salary category in AED ,Position presently hold in the hospital,Service  (in years),Working unit category,Race,Feeling not angry after nurse and physician interaction?,Feeling not frustrated after nurse and physician interaction ?,Feeling understood after nurse and physician interaction?,Feeling respected after nurse physician interaction?,Feeling pleased after nurse physician interaction?,Feeling satisfied after nurse physician interaction?,Nurses and physicians have equal understanding during interaction?,Talking between nurse and physician is joyful?,Are you receiving correct information relevant to give care for the patient?,"In the event of a change in treatment plan, the nurse and the physicians have a mutual understanding",The nurse and physicians discuss mechanism to maintain patient safety,The nurse & the physicians have the same understanding on patient's care,The nurse & the physicians take into account each other's schedule when making plans to treat a patient together,The nurse & the physicians can openly exchange information or opinion about matters related to work,The nurse and the physicians show concern for each other when they are very tired,The nurse and the physicians help each other,Physicians and nurse listen to each other,Receiving correct information or advice,"Do you think that non-compliance with advice affect ""nurse physician interaction""?","Do you feel that ""Negligence of duty"" interfere with nurse physician interaction?","Do you feel that ""Abuse (verbal, physical and sexual)"" interfere with nurse physician interaction?","Do you feel that ""Poor attitude to work""  interfere with nurse-physician interaction?","Do you feel that ""Uncooperativeness at work"" interfere with ""nurse physician interaction""?","Do you feel that ""Gender difference"" interfere with nurse physician interaction""?",Do you feel that unfavorable attitude toward other professionals interfere with nurse-physician interaction?,Do you feel that poor interpersonal communication  interfere with nurse-physician interaction?,"Do you feel that ""disruptive behaviors"" interfere with nurse physician interaction""?","Do you feel that ""differential treatment of nurses or physicians"" in the hospital , interfere with nurse-physician interaction?","Do you feel that ""Absence of forum regarding nurse-physician communication"" interfere with nurse physician interaction? ","Do you feel that ""Lack of shared vision between nurses and physicians in the hospital "" interfere with nurse physician interaction? ","Do you feel that ""Malfunctioning of equipment in units  "" interfere with nurse physician interaction? ","Do you feel that ""Frequent supply shortage in units"" interfere with nurse physician interaction? "
Nurse,district/ non-teaching hospital,Female,40-45,Married,Master,Canada,20000 to 25000,Supervisor nurse,5,Medical department,Westerners,Always,Usually,Sometimes,Usually,Always,Always,Usually,Usually,Always,Always,Usually,Always,Always,Usually,Always,Usually,Always,Sometimes,Never,Rarely,Sometimes,Never,Never,Rarely,rarely,Never,Never,Rarley,Sometimes,rarely,Never,rarely
Nurse,Teaching/referral hospital,Female,40-45,Married,Bachelor,America,25000 to 30000,Registered nurse,7,Obstetrics and gynaecology department,Westerners,Always,Usually,Usually,Always,Usually,Always,Always,Always,Always,Always,Usually,Always,Usually,Always,Usually,Always,Always,Always,Rarely,Rarely,Rarely,Rarely,Rarely,Rarely,Never,Never,Never,Never,Never,Never,rarely,rarely
Nurse,district/ non-teaching hospital,Female,40-45,Married,Post graduate diploma,Ausrilia,20000 to 25000,Supervisor nurse,11,dental,Westerners,Always,Usually,Always,Usually,Always,Always,Always,Usually,Always,Usually,Always,Always,Usually,Usually,Always,Always,Usually,Always,Rarely,Rarely,Rarely,Never,Rarely,Never,Never,rarely,Never,Never,rarely,Never,Never,Never
Nurse,district/ non-teaching hospital,Female,40-45,Married,Master,India,25000 to 30000,Registered nurse,8,Surgical departement,South Asians,Always,Usually,Always,Always,Usually,Always,Sometimes,Usually,Always,Always,Usually,Always,Always,Usually,Usually,Always,Always,Always,Never,Rarely,Never,Rarely,Never,Never,Never,Never,Rarely,Never,Never,rarely,Never,Never
Nurse,district/ non-teaching hospital,Female,40-45,Married,PhD,Canada,,Supervisor nurse,12,Paediatrics  department,Westerners,Always,Sometimes,Always,Usually,Usually,Always,Usually,Sometimes,Usually,Always,Usually,Always,Always,Usually,Always,Sometimes,Usually,Always,Never,Sometimes,Rarely,Never,Rarely,Never,rarely,sometimes,Never,Never,rarely,Sometimes,Never,Never
Nurse,district/ non-teaching hospital,Female,35-40,Married,Post graduate diploma,Arab country,20000 to 25000,Supervisor nurse,10,Emergency department,Arab & Iranian,Always,Sometimes,Sometimes,,Always,Sometimes,Always,Always,Always,Always,Usually,Usually,Always,Always,Always,Usually,Usually,Usually,Rarely,Rarely,Never,Rarely,Never,Never,Never,Never,Never,Rarley,Sometimes,Never,rarely,Never
Nurse,district/ non-teaching hospital,Female,40-45,Married,Master,Arab country,25000 to 30000,Supervisor nurse,8,Emergency department,Arab & Iranian,Usually,Always,Usually,Always,Usually,Usually,Usually,Usually,Always,Usually,Always,Always,Sometimes,Usually,Always,Always,Usually,Sometimes,Never,Rarely,Never,Never,Sometimes,,rarely,Never,Rarely,Never,Never,rarely,Never,Never
Nurse,district/ non-teaching hospital,Female,40-45,Married,Master,Arab country,25000 to 30000,Supervisor nurse,8,Emergency department,Arab & Iranian,Usually,Always,Usually,Always,Usually,Usually,Usually,Usually,Always,Usually,Always,Always,Sometimes,Usually,Always,Always,Usually,Sometimes,Never,Rarely,Never,Never,Sometimes,,rarely,Never,Rarely,Never,Never,rarely,Never,Never
Nurse,district/ non-teaching hospital,Female,45-50,Married,Master,Canada,25000 to 30000,Registered nurse,10,ICU,Westerners,Sometimes,Always,Always,Always,Usually,Usually,Always,Usually,Always,Usually,Always,Always,Sometimes,Usually,Always,Usually,Always,Always,Rarely,Never,Rarely,Never,Never,Never,Never,rarely,Never,Rarley,Never,Never,Never,Never
Nurse,district/ non-teaching hospital,Female,40-45,Married,Master,America,20000 to 25000,Supervisor nurse,12,ICU,Westerners,Usually,Usually,Always,Always,Usually,Always,Sometimes,Usually,Always,Always,Always,Always,Usually,Always,Always,Always,Usually,Always,Rarely,Never,Never,,Never,Rarely,Never,rarely,Rarely,Never,Never,rarely,Never,Never
